number,name,protein_group,ingredients,locations_count
929,HALSEY,Halal chicken,"Chicken (Halal), Italian Dressing, Avocado, Provolone",181
405,ERIN COSCARELLI,Halal chicken,"Chicken (Halal), Dirty Dressing, Purple Slaw, Avocado, Pepper Jack",105
111,MENAGE A TROIS,Halal chicken,"Chicken (Halal), Honey Mustard, BBQ Sauce, Real Honey, Pepper Jack, Swiss, Cheddar",105
99,WE'RE JUST FRIENDS,Halal chicken,"Chicken (Halal), Avocado, Zesty Orange Glaze, Pepper Jack",104
1999,"HEY NOW, YOU'RE AN ALLSTAR- Created With Smash Mouth",Halal chicken,"Chicken (Halal), Bacon, Red Pesto, Sriracha, Wasabi Mayo, Pepper Jack",102
106,THE NNEKANATOR - Created With Nneka Ogwumike,Halal chicken,"Chicken (Halal), Bacon, Buffalo Wing Sauce, Ranch, Gouda",104
1,ELVIS KIETH,Halal chicken,"Chicken (Halal), Teriyaki, Wasabi Mayo, Swiss",101
9,[NAME OF THE GIRL I'M DATING],Halal chicken,"Chicken (Halal), Honey Mustard, Avocado, Pepper Jack",98
30,BACKSTABBER,Halal chicken,"Chicken (Halal), Creamy Caesar, Marinated Artichoke Hearts, Provolone",97
6,HOT MOMMA HUDA,Halal chicken,"Chicken (Halal), Buffalo Wing Sauce, Ranch, Provolone",78
0.5,SPIFFY TIFFY,Halal chicken,"Chicken (Halal), Pesto, Mushrooms, Avocado, Pepper Jack, Provolone",18
49,THE 49ER,Halal chicken,"Halal Chicken, Buffalo Wing Sauce, Honey Mustard, Gouda",15
76,M.I.L.F,Halal chicken,"Chicken (Halal), Stuffed Jalapeno Poppers, Buffalo Wing Sauce, Ranch",14
51,RANDY JOHNSON,Halal chicken,"Chicken (Halal), Southwest Pesto, Mushrooms, Pepper Jack",12
44,ROBIN WILLIAMS,Halal chicken,"Chicken (Halal), Italian Dressing, Mushrooms, Pepper Jack",12
10,STEVE NASH,Halal chicken,"Chicken (Halal), Marinara, Provolone",12
16,JAKE THE SNAKE,Halal chicken,"Chicken (Halal), Bacon, Asian Sesame Dressing, Avocado, Provolone",10
7,PIZZLE,Halal chicken,"Chicken (Halal), Bacon, Ranch, Cheddar",9
176,COUGAR,Halal chicken,"Chicken (Halal), Buffalo Wing Sauce, Ranch, Mozzarella Sticks",8
10,RUM RUM,Halal chicken,"Chicken (Halal), Marinara, Provolone",8
107,IF I WERE CUTE!,Halal chicken,"Chicken (Halal), Bacon, Mozzarella Sticks, Pesto, Ranch, Cheddar",7
4,LIZZY'S LIPS,Halal chicken,"Chicken (Halal), Italian Dressing, Pepper Jack",7
30,SILICON VALLEY,Halal chicken,"Chicken (Halal), Creamy Caesar, Marinated Artichoke Hearts, Provolone",7
96,VIKINGS,Halal chicken,"Chicken (Halal), Red Pesto, Ranch, Pepper Jack",7
12,ANDREW LUCK,Halal chicken,"Chicken (Halal), Bacon, Italian Dressing, Avocado, Gouda",6
17,BULLDOGS,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",7
11,MOZZARELLA'S BIG CHEESE,Halal chicken,"Chicken (Halal), Honey Mustard, Real Honey, Provolone",6
17,MUSTANGS,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",6
182,PHIL MICKELSON,Halal chicken,"Chicken (Halal), Bacon, BBQ Sauce, Beer-Battered Onion Rings, Cheddar",12
427,ALARIC,Halal chicken,"Chicken (Halal), Green Chiles, Ranch, Cheddar",5
82,NOT TONIGHT I HAVE A HEADACHE,Halal chicken,"Chicken (Halal), Bacon, BBQ Sauce, Cheddar",5
66,DAMN STRAIGHT,Halal chicken,"Chicken (Halal), Mozzarella Sticks, Marinara",4
518,JEREMY'S FISH & CHIPS,Halal chicken,"Chicken (Halal), Bacon, Yellow BBQ Sauce, Mozzarella Sticks, Jalapeno Chips",4
10,CURTIS,Halal chicken,"Chicken (Halal), Marinara, Provolone",3
16,16TH & MARKET,Halal chicken,"Chicken (Halal), Bacon, Asian Sesame Dressing, Avocado, Provolone",2
110,DON'T F' WITH E. K.,Halal chicken,"Chicken (Halal), Teriyaki, Wasabi Mayo, Mushrooms, Swiss",2
312,JOE NAMATH,Halal chicken,"Chicken (Halal), Bacon, Asian Sesame Dressing, Provolone",2
17,MCCARRAN,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
17,SANCHEZ COLLEGE PREP,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
17,TIMBER WOLF,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
17,TOP GUN,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
789,YAEL UNIVERSITY,Halal chicken,"Chicken (Halal), Bacon, Real Honey, Honey Mustard, BBQ Sauce, Pepper Jack, Swiss, Cheddar",2
17,AARON ECKHART,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
443,BECCA GROSS HEARTS BECCA GROSS,Halal chicken,"Chicken (Halal), Bacon, BBQ Sauce, Sriracha, Cream Cheese",1
17,BISHOP RANCH,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
773,BLOND BOMBER (Fremont Exclusive),Halal chicken,"Chicken (Halal), Ike's Spicy Wing Sauce, Real Honey, Gouda",1
17,BOBCAT,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
576,CHARLOTTE KENSINGTON (Fresno Campus Pointe Exclusive),Halal chicken,"Chicken (Halal), Ike's Buffalo French Sauce, American",1
1229,DESERT ROSE,Halal chicken,"Chicken (Halal), BBQ Sauce, Honey Mustard, Habanero, Purple Slaw, Avocado, Cheddar, Pepper Jack",1
431,FESTUS EZELI,Halal chicken,"Chicken (Halal), BBQ Sauce, Real Honey, Habanero, Cheddar",1
